Is_New,ID*,key,URL*,rel_url,requirement,conformance,update_verb,actor,certifiers_only,Sub-Requirement(s),conditionality,Conditionality Details,Verifiable?,Verifiability Details,Planning To Test?,Planning To Test Details,Page,Section,context,Verb Guess,Actor Guess,Section #,Grouping,Priority,Test Plan,Questions,Notes,In Test,Column1
,1,CONF-0001,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-only-support,general-requirements.html#profile-only-support,"To support a US Core Profile, a Server: **SHALL** Be able to populate all profile data elements that are mandatory and/or flagged as Must Support as defined by that profile’s StructureDefinition.",SHALL,,Server,,,FALSE,,,,,,general-requirements,profile-only-support,General Requirements: Profile Only Support,SHALL,Server,2.1.2.1,,,,,,y,
,2,CONF-0002,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-only-support,general-requirements.html#profile-only-support,"To support a US Core Profile, a Server: **SHOULD** declare support for a US Core Profile by including its official URL in the Server’s `CapabilityStatement.rest.resource.supportedProfile` element.",SHOULD,,Server,,,FALSE,,,,,,general-requirements,profile-only-support,General Requirements: Profile Only Support,SHOULD,Server,2.1.2.2,,,,,,,
,3,CONF-0003,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Servers may deploy and support one or more US Core Profiles to represent clinical information,MAY,,Server,,hl7.fhir.us.core_8.0.0@4-8,TRUE,This has an AND logic with one OR more of 4-8.  Restated: Servers MAY support requirement 3 and any requirement 4-8,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,4,CONF-0004,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Server may deploy and support ... the following US Core interaction: “Quick Start” defined for each Profile,MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,5,CONF-0005,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Server may deploy and support ... the following US Core interaction: [Clinical Notes](https://hl7.org/fhir/us/core/clinical-notes.html),MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,6,CONF-0006,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Server may deploy and support ... the following US Core interaction: [Medication List](https://hl7.org/fhir/us/core/medication-list.html),MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,7,CONF-0007,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Server may deploy and support ... the following US Core interaction: [Basic Provenance](https://hl7.org/fhir/us/core/basic-provenance.html),MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,8,CONF-0008,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Server may deploy and support ... the following US Core interaction: [Screening and Assessments](https://hl7.org/fhir/us/core/screening-and-assessments.html),MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,MAY,Server,2.1.2.2,,,,,,,
,9,CONF-0009,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Servers implementing ... [clinical information representation] can claim conformance to the US Core Profile content structure ... by implementing all or parts of the US Core CapabilityStatement into their capabilities.,MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,,Server,2.1.2.2,,,,,,,
,10,CONF-0010,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,Servers implementing ... [interactions] can claim conformance to the ... RESTful interactions defined by implementing all or parts of the US Core CapabilityStatement into their capabilities,MAY,,Server,,,TRUE,,,,,,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,,Server,2.1.2.2,,,,,,,
,11,CONF-0011,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,A Server that certifies to the [21st Century Cures Act for accessing patient data](https://www.federalregister.gov/d/2020-07419/p-1177) **SHALL** implement all components in the USCDI [[USCDI link](https://www.healthit.gov/isp/united-states-core-data-interoperability-uscdi)],SHALL,must to **SHALL**,Server,TRUE,,TRUE,,Yes,,No,This requirement is specific to testing for the 21st Century Cures Act and is not relevant to the IG tests,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,,Server,2.1.2.2,,,,,This requirement is re-stated as a part of (g)(10) and is not tested as a part of US Core,n,
