"Value Set Name","Value Set OID","Definition Version","Status","Purpose","Code","Display","Code System","Code System Version"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","311611.000001","Abattoirs [Animal (except Poultry) Slaughtering ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","621410.000002","Abortion clinics [Family Planning Centers ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","334519.000003","Abrasion testing machines manufacturing [Other Measuring and Controlling Device Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","339114.000004","Abrasive points, wheels, and disks, dental, manufacturing [Dental Equipment and Supplies Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","327910.000005","Abrasive products manufacturing [Abrasive Product Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","212322.000006","Abrasive sand quarrying and/or beneficiating [Industrial Sand Mining ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","212399.000007","Abrasive stones (e.g., emery, grindstones, hones, pumice) mining and/or beneficiating [All Other Nonmetallic Mineral Mining ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","423840.000008","Abrasives merchant wholesalers [Industrial Supplies Merchant Wholesalers]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","212399.000009","Abrasives, natural, mining and/or beneficiating [All Other Nonmetallic Mineral Mining ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","322121.000010","Absorbent paper stock manufacturing [Paper (except Newsprint) Mills ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","332420.000011","Absorbers, gas, heavy gauge metal, manufacturing [Metal Tank (Heavy Gauge) Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","334513.000012","Absorption analyzers, industrial process type (e.g., infrared), manufacturing [Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","237310.000013","Abutment construction [Highway, Street, and Bridge Construction ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611691.000014","Academic tutoring services [Exam Preparation and Tutoring ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611310.000015","Academies, college or university [Colleges, Universities, and Professional Schools ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611110.000016","Academies, elementary or secondary [Elementary and Secondary Schools ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611210.000017","Academies, junior college [Junior Colleges ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611310.000018","Academies, military service (college) [Colleges, Universities, and Professional Schools ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","611620.000019","Academies, riding instruction [Sports and Recreation Instruction ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","334511.000020","Acceleration indicators and systems components, aerospace type, manufacturing [Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000021","Accelerators (i.e., basic synthetic chemical) manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","334519.000022","Accelerometers (except aerospace type) manufacturing [Other Measuring and Controlling Device Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","238330.000023","Access flooring installation [Flooring Contractors]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","813319.000024","Accident prevention associations [Other Social Advocacy Organizations ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","524130.000025","Accidental and health reinsurance carriers [Reinsurance Carriers ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","524113.000026","Accidental death and dismemberment insurance carriers, direct [Direct Life Insurance Carriers ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","524113.000027","Accidental death and dismemberment insurance underwriting, direct [Direct Life Insurance Carriers ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","339992.000028","Accordions and parts manufacturing [Musical Instrument Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","561440.000029","Account collection services [Collection Agencies]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541219.000030","Accountants' (except CPAs) offices [Other Accounting Services ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541219.000031","Accountants' (except CPAs) private practices [Other Accounting Services ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541211.000032","Accountants' (i.e., CPAs) offices, certified public [Offices of Certified Public Accountants ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541211.000033","Accountants' (i.e., CPAs) private practices, certified public [Offices of Certified Public Accountants ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","813920.000034","Accountants' associations [Professional Organizations ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541211.000035","Accounting (i.e., CPAs) services, certified public [Offices of Certified Public Accountants ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","423420.000036","Accounting machines merchant wholesalers [Office Equipment Merchant Wholesalers ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","541219.000037","Accounting services (except CPAs) [Other Accounting Services ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","332420.000038","Accumulators, industrial pressure vessels, heavy gauge metal, manufacturing [Metal Tank (Heavy Gauge) Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325211.000039","Acetal resins manufacturing [Plastics Material and Resin Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000040","Acetaldehyde manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325220.000041","Acetate fibers and filaments manufacturing [Artificial and Synthetic Fibers and Filaments Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325194.000042","Acetate of lime, natural, made by distillation of wood [Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","313110.000043","Acetate spun yarns made from purchased fiber [Fiber, Yarn, and Thread Mills ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000044","Acetates, not specified elsewhere by process, manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000045","Acetic acid manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000046","Acetic anhydride manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000047","Acetin manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325194.000048","Acetone, natural, manufacturing [Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000049","Acetone, synthetic, manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","332420.000050","Acetylene cylinders, heavy gauge metal, manufacturing [Metal Tank (Heavy Gauge) Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325120.000051","Acetylene manufacturing [Industrial Gas Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325411.000052","Acetylsalicylic acid manufacturing [Medicinal and Botanical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325130.000053","Acid dyes, synthetic organic, manufacturing [Synthetic Dye and Pigment Manufacturing]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","325199.000054","Acid esters, not specified elsewhere by process, manufacturing [All Other Basic Organic Chemical Manufacturing ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","324110.000055","Acid oils made in petroleum refineries [Petroleum Refineries]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
"PHVS_Industry_NAICS_Detail _ODH","","1","active","","236210.000056","Acid plant construction [Industrial Building Construction ]","http://terminology.hl7.org/CodeSystem/PHOccupationalDataForHealthODH","20191121"
