OID,≤2022,2023,2024,2025,2026
2.16.840.1.113762.1.4.1,"20121025(ret),20150331",,,,
2.16.840.1.113762.1.4.1010.4,20170601(ret),,20240606,,
2.16.840.1.113762.1.4.1010.5,20190423(ret),,"20240606(ret),20240627",,
2.16.840.1.113762.1.4.1010.6,"20160903(ret),20180107(ret),20180519(ret),20210630(ret),20220701(ret)",20230715(ret),,20250411(ret),20260428
2.16.840.1.113762.1.4.1021.101,"20211028(ret),20220316(ret)",,20240215(ret),,20260429
2.16.840.1.113762.1.4.1021.102,20211028,,,,
2.16.840.1.113762.1.4.1021.103,20211113,,,,
2.16.840.1.113762.1.4.1021.121,,,20241007(ret),20250228,
2.16.840.1.113762.1.4.1021.24,"20190308(ret),20211119(ret)",,20240330,,
2.16.840.1.113762.1.4.1021.32,"20211028(ret),20220316(ret)",,20240215,,
2.16.840.1.113762.1.4.1021.33,20211123,,,,
2.16.840.1.113762.1.4.1099.12,20190521(ret),,20240606,,
2.16.840.1.113762.1.4.1099.24,"20181109(ret),20220714(ret)",20230715,,,
2.16.840.1.113762.1.4.1099.27,20220408(ret),"20230223(ret),20230706",,,
2.16.840.1.113762.1.4.1099.30,20190418(ret),,20240605,,
2.16.840.1.113762.1.4.1099.53,"20221101(ret),20221111(ret)",20230516(ret),20240217,,
2.16.840.1.113762.1.4.1099.54,20221102(ret),,20240606,,
2.16.840.1.113762.1.4.1099.59,,"20230906(ret),20231025(ret)",20240328(ret),20251104,
2.16.840.1.113762.1.4.1114.14,"20201021(ret),20210618(ret),20221014(ret)",,20240606(ret),20250723(ret),
2.16.840.1.113762.1.4.1115.22,,20230815(ret),"20240217(ret),20240712",,
2.16.840.1.113762.1.4.1115.40,,,,20250407,
2.16.840.1.113762.1.4.1115.41,,,,20250407,
2.16.840.1.113762.1.4.1166.22,20180329(ret),20230802(ret),,,
2.16.840.1.113762.1.4.1186.1,20180503(ret),,"20240606(ret),20240625(ret)",,
2.16.840.1.113762.1.4.1186.3,20180503(ret),,"20240607(ret),20240625(ret)",,
2.16.840.1.113762.1.4.1186.4,20180503(ret),,20240606(ret),,
2.16.840.1.113762.1.4.1186.5,"20180503(ret),20210622(ret)",,20240606(ret),,
2.16.840.1.113762.1.4.1186.8,"20180503(ret),20210622(ret)",,"20240606(ret),20240625(ret)",,
2.16.840.1.113762.1.4.1240.10,,20231129,,,
2.16.840.1.113762.1.4.1240.11,,20231129,,,
2.16.840.1.113762.1.4.1240.12,,,20240906,,
2.16.840.1.113762.1.4.1240.3,,"20230609(ret),20230628",,,
2.16.840.1.113762.1.4.1240.4,,20230628,,,
2.16.840.1.113762.1.4.1240.7,,20231025,,,
2.16.840.1.113762.1.4.1240.8,,20231025,,,
2.16.840.1.113762.1.4.1267.10,,,20240329,,
2.16.840.1.113762.1.4.1267.11,,,20240329,,
2.16.840.1.113762.1.4.1267.13,,,20241008(ret),20250610(ret),20260422
2.16.840.1.113762.1.4.1267.14,,,20241004,,
2.16.840.1.113762.1.4.1267.15,,,20241004,,
2.16.840.1.113762.1.4.1267.16,,,20241005,,
2.16.840.1.113762.1.4.1267.22,,,20241015,,
2.16.840.1.113762.1.4.1267.23,,,20241018(ret),20250510,
2.16.840.1.113762.1.4.1267.24,,,20241105(ret),20250529,
2.16.840.1.113762.1.4.1267.25,,,,20250419,
2.16.840.1.113762.1.4.1267.29,,,,20250510,
2.16.840.1.113762.1.4.1267.3,,,20240217,,
2.16.840.1.113762.1.4.1267.4,,,20240222(ret),20251107,
2.16.840.1.113762.1.4.1267.5,,,20240217,,
2.16.840.1.113762.1.4.1267.6,,,20240222,,
2.16.840.1.113762.1.4.1267.7,,,20240329,,
2.16.840.1.113762.1.4.1267.8,,,20240329,,
2.16.840.1.113762.1.4.1267.9,,,20240329,,
2.16.840.1.113883.1.11.10267,"20150417(ret),20170915(ret),20220629(ret)",,20240605,,
2.16.840.1.113883.1.11.10612,20190308,,,,
2.16.840.1.113883.1.11.14914,20190522(ret),,20240606,,
2.16.840.1.113883.11.20.9.52,20200612(ret),20230715(ret),20241017,,
2.16.840.1.113883.11.20.9.69.4,"20180119(ret),20200604(ret),20221001(ret)",20230627(ret),"20240217(ret),20240712(ret)","20250319(ret),20250402",
2.16.840.1.113883.3.88.12.3221.8.7,"20161010(ret),20180516(ret)",,"20240606(ret),20240716",,
2.16.840.1.113883.3.88.12.80.17,20190423(ret),,"20240606(ret),20240627",,
2.16.840.1.113883.3.88.12.80.62,"20150424(ret),20170915(ret),20170922(ret),20181103(ret),20190521(ret),20200605(ret),20210630(ret)",20231128(ret),20240322(ret),20251202,
2.16.840.1.113883.4.642.2.575,,,,20250419,
2.16.840.1.113883.4.642.40.2.48.1,,,,20250419,
2.16.840.1.113883.4.642.40.2.48.3,,,,"20250418(ret),20250419",
2.16.840.1.114222.4.11.1066,20190521(ret),,20240606,,
2.16.840.1.114222.4.11.3591,20221118(ret),,,20250419,
2.16.840.1.114222.4.11.836,20121025,,,,
2.16.840.1.114222.4.11.837,20121025,,,,
2.16.840.1.114222.4.11.877,20190518(ret),,20240606(ret),20251123(ret),20260410
