OID,version,date,fhir_status,year
2.16.840.1.113762.1.4.1,20121025,2026-04-07T15:50:11-04:00,retired,2012
2.16.840.1.113762.1.4.1,20150331,2026-04-07T15:50:11-04:00,active,2015
2.16.840.1.113762.1.4.1010.4,20170601,2026-05-14T18:39:45-04:00,retired,2017
2.16.840.1.113762.1.4.1010.4,20240606,2026-05-14T18:39:45-04:00,active,2024
2.16.840.1.113762.1.4.1010.5,20190423,2026-05-14T18:33:27-04:00,retired,2019
2.16.840.1.113762.1.4.1010.5,20240606,2026-05-14T18:33:27-04:00,retired,2024
2.16.840.1.113762.1.4.1010.5,20240627,2026-05-14T18:33:27-04:00,active,2024
2.16.840.1.113762.1.4.1010.6,20160903,2026-04-28T01:00:51-04:00,retired,2016
2.16.840.1.113762.1.4.1010.6,20180107,2026-04-28T01:00:51-04:00,retired,2018
2.16.840.1.113762.1.4.1010.6,20180519,2026-04-28T01:00:51-04:00,retired,2018
2.16.840.1.113762.1.4.1010.6,20210630,2026-04-28T01:00:51-04:00,retired,2021
2.16.840.1.113762.1.4.1010.6,20220701,2026-04-28T01:00:51-04:00,retired,2022
2.16.840.1.113762.1.4.1010.6,20230715,2026-04-28T01:00:51-04:00,retired,2023
2.16.840.1.113762.1.4.1010.6,20250411,2026-04-28T01:00:51-04:00,retired,2025
2.16.840.1.113762.1.4.1010.6,20260428,2026-04-28T01:00:51-04:00,active,2026
2.16.840.1.113762.1.4.1021.101,20211028,2026-04-29T01:00:56-04:00,retired,2021
2.16.840.1.113762.1.4.1021.101,20220316,2026-04-29T01:00:56-04:00,retired,2022
2.16.840.1.113762.1.4.1021.101,20240215,2026-04-29T01:00:56-04:00,retired,2024
2.16.840.1.113762.1.4.1021.101,20260429,2026-04-29T01:00:56-04:00,active,2026
2.16.840.1.113762.1.4.1021.102,20211028,2026-04-29T17:53:52-04:00,active,2021
2.16.840.1.113762.1.4.1021.103,20211113,2026-04-29T13:46:30-04:00,active,2021
2.16.840.1.113762.1.4.1021.121,20241007,2026-04-28T16:24:45-04:00,retired,2024
2.16.840.1.113762.1.4.1021.121,20250228,2026-04-28T16:24:45-04:00,active,2025
2.16.840.1.113762.1.4.1021.24,20190308,2026-04-08T16:29:27-04:00,retired,2019
2.16.840.1.113762.1.4.1021.24,20211119,2026-04-08T16:29:27-04:00,retired,2021
2.16.840.1.113762.1.4.1021.24,20240330,2026-04-08T16:29:27-04:00,active,2024
2.16.840.1.113762.1.4.1021.32,20211028,2026-04-28T16:31:36-04:00,retired,2021
2.16.840.1.113762.1.4.1021.32,20220316,2026-04-28T16:31:36-04:00,retired,2022
2.16.840.1.113762.1.4.1021.32,20240215,2026-04-28T16:31:36-04:00,active,2024
2.16.840.1.113762.1.4.1021.33,20211123,2026-04-29T16:39:58-04:00,active,2021
2.16.840.1.113762.1.4.1099.12,20190521,2026-04-02T14:01:26-04:00,retired,2019
2.16.840.1.113762.1.4.1099.12,20240606,2026-04-02T14:01:26-04:00,active,2024
2.16.840.1.113762.1.4.1099.24,20181109,2026-04-28T16:20:18-04:00,retired,2018
